"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"333","ENSG00000139725",1096.715,-0.2597512,0.15113987,0.003351651,0.04938943,"RHOF","DOWN"
"334","ENSG00000139865",32.61199,-1.03047,0.73176254,0.000298403,0.007578952,"TTC6","DOWN"
"335","ENSG00000139921",8890.339,-0.2879537,0.11118185,0.0003071341,0.007779624,"TMX1","DOWN"
"336","ENSG00000139946",777.728,-0.7050256,0.16812687,5.981396e-07,4.047484e-05,"PELI2","DOWN"
"337","ENSG00000140090",59.26238,-0.509071,0.5705717,0.003158675,0.0473271,"SLC24A4","DOWN"
"338","ENSG00000140332",1647.682,-0.3423438,0.1675683,0.0007634992,0.01620728,"TLE3","DOWN"
"339","ENSG00000140416",16681.29,-0.294454,0.10729516,0.0001856104,0.005116297,"TPM1","DOWN"
"340","ENSG00000140443",15201.4,-0.2567264,0.13761007,0.002537319,0.04076516,"IGF1R","DOWN"
"341","ENSG00000140463",931.8118,-0.675562,0.18454681,3.704212e-06,0.0001912721,"BBS4","DOWN"
"342","ENSG00000140682",679.0712,-0.6492158,0.24088163,6.350378e-05,0.002070113,"TGFB1I1","DOWN"
"343","ENSG00000140835",94.73467,-1.272216,0.40886135,1.009637e-05,0.0004390865,"CHST4","DOWN"
"344","ENSG00000140945",2393.744,-0.3700701,0.15096429,0.0002112443,0.005697213,"CDH13","DOWN"
"345","ENSG00000141052",162.3345,-2.490185,0.29720617,8.018032e-20,5.182413e-17,"MYOCD","DOWN"
"346","ENSG00000141194",20.4709,-0.5500174,0.7196125,0.001805059,0.0316798,"OR4D1","DOWN"
"347","ENSG00000142089",1282.82,-0.4081272,0.1587426,0.0001205419,0.003548925,"IFITM3","DOWN"
"348","ENSG00000142864",20180.16,-0.3760058,0.11128318,1.016629e-05,0.0004402708,"SERBP1","DOWN"
"349","ENSG00000142910",494.8155,-0.9725873,0.17340456,8.78712e-10,1.098039e-07,"TINAGL1","DOWN"
"350","ENSG00000143067",1210.343,-0.2790831,0.13825267,0.001413715,0.02628836,"ZNF697","DOWN"
"351","ENSG00000143162",1191.913,-0.3073766,0.15230706,0.001074151,0.02135089,"CREG1","DOWN"
"352","ENSG00000143195",5178.453,-0.9514741,0.171959,1.423086e-09,1.688248e-07,"ILDR2","DOWN"
"353","ENSG00000143226",16.96402,-0.4083685,0.68530003,0.002550361,0.04089304,"FCGR2A","DOWN"
"354","ENSG00000143324",3591.922,-0.6537665,0.11251685,2.205209e-10,3.1553e-08,"XPR1","DOWN"
"355","ENSG00000143333",425.8958,-0.9816333,0.30068987,1.097291e-05,0.0004717345,"RGS16","DOWN"
"356","ENSG00000143341",684.0209,-1.020708,0.20258752,1.487451e-08,1.437154e-06,"HMCN1","DOWN"
"357","ENSG00000143416",74.22847,-0.5051057,0.46830114,0.0029306,0.04523557,"SELENBP1","DOWN"
"358","ENSG00000143452",207.1454,-1.407538,0.25129593,3.376881e-10,4.553688e-08,"HORMAD1","DOWN"
"359","ENSG00000143469",2278.223,-0.2496681,0.12794853,0.002284244,0.03777795,"SYT14","DOWN"
"360","ENSG00000143612",3717.406,-0.2273411,0.11055846,0.002376515,0.03880261,"C1orf43","DOWN"
"361","ENSG00000143643",163.2276,-0.6775557,0.33650373,0.0003103213,0.007849747,"TTC13","DOWN"
"362","ENSG00000143858",561.276,-0.9451221,0.1639464,4.000366e-10,5.317933e-08,"SYT2","DOWN"
"363","ENSG00000143951",1153.732,-0.5010347,0.16141892,1.764869e-05,0.0007115191,"WDPCP","DOWN"
"364","ENSG00000144229",375.0942,-0.4060485,0.24679902,0.001456671,0.02684744,"THSD7B","DOWN"
"365","ENSG00000144476",2711.699,-0.7401521,0.13159528,9.893618e-10,1.228119e-07,"ACKR3","DOWN"
"366","ENSG00000144744",2965.139,-0.4234536,0.12965893,1.136299e-05,0.0004862306,"UBA3","DOWN"
"367","ENSG00000144746",2183.687,-0.8671469,0.12844347,1.107084e-12,2.441315e-10,"ARL6IP5","DOWN"
"368","ENSG00000144821",369.8864,-1.204847,0.24724627,2.073115e-08,1.91421e-06,"MYH15","DOWN"
"369","ENSG00000144847",251.6526,-0.9412298,0.25096347,2.917022e-06,0.000155774,"IGSF11","DOWN"
"370","ENSG00000145191",1913.478,-0.6460839,0.13187931,2.276222e-08,2.071141e-06,"EIF2B5","DOWN"
"371","ENSG00000145335",628.7585,-0.7392332,0.1700579,3.629239e-07,2.586557e-05,"SNCA","DOWN"
"372","ENSG00000145416",159.1442,-1.516186,0.33482738,7.300167e-08,5.898031e-06,"MARCHF1","DOWN"
"373","ENSG00000145555",3273.428,-0.3656149,0.11654598,2.60025e-05,0.0009946751,"MYO10","DOWN"
"374","ENSG00000145592",15466.8,-0.4337686,0.1344099,1.256927e-05,0.0005318249,"RPL37","DOWN"
"375","ENSG00000145824",3843.163,-1.284066,0.17717069,7.430624e-15,2.360672e-12,"CXCL14","DOWN"
"376","ENSG00000145990",200.5804,-0.4074743,0.30392939,0.002870749,0.04447051,"GFOD1","DOWN"
"377","ENSG00000146054",129.0574,-0.4513249,0.36786886,0.002972072,0.04551349,"TRIM7","DOWN"
"378","ENSG00000146233",133.2155,-0.495193,0.39863164,0.002418329,0.0393141,"CYP39A1","DOWN"
"379","ENSG00000146776",328.3104,-0.8393094,0.23967646,6.779712e-06,0.0003137751,"ATXN7L1","DOWN"
"380","ENSG00000147041",1379.011,-1.033137,0.1625606,7.88582e-12,1.478118e-09,"SYTL5","DOWN"
"381","ENSG00000147162",5970.028,-0.2996166,0.1083889,0.0001651116,0.004653913,"OGT","DOWN"
"382","ENSG00000147180",3310.625,-0.3528023,0.12584275,8.513376e-05,0.002627984,"ZNF711","DOWN"
"383","ENSG00000147246",74.55847,-1.772201,0.41443407,1.561774e-07,1.189996e-05,"HTR2C","DOWN"
"384","ENSG00000147724",65.82884,-0.7515701,0.6424599,0.0009628986,0.01961801,"FAM135B","DOWN"
"385","ENSG00000148053",107.0332,-0.9286181,0.40213272,0.0001031892,0.003099646,"NTRK2","DOWN"
"386","ENSG00000148143",4483.194,-0.5984012,0.1132276,2.341481e-09,2.676141e-07,"ZNF462","DOWN"
"387","ENSG00000148175",1912.57,-0.2541096,0.13016389,0.002164539,0.03609619,"STOM","DOWN"
"388","ENSG00000148219",466.8938,-0.5348514,0.241473,0.0002445701,0.006360335,"ASTN2","DOWN"
"389","ENSG00000148303",19067.75,-0.3153813,0.09701979,3.045333e-05,0.001143345,"RPL7A","DOWN"
"390","ENSG00000148516",3264.238,-0.7576046,0.12045949,2.293648e-11,3.944234e-09,"ZEB1","DOWN"
"391","ENSG00000148541",607.476,-0.8924706,0.181217,3.426174e-08,3.029255e-06,"FAM13C","DOWN"
"392","ENSG00000148842",443.0364,-0.75164,0.19531463,2.260531e-06,0.0001246217,"CNNM2","DOWN"
"393","ENSG00000148943",6238.462,-0.2656804,0.11570041,0.0008490573,0.01764382,"LIN7C","DOWN"
"394","ENSG00000149485",14223.41,-0.3364459,0.10100768,1.802108e-05,0.0007248651,"FADS1","DOWN"
"395","ENSG00000149575",232.4278,-0.6616634,0.31628994,0.0002696763,0.006943424,"SCN2B","DOWN"
"396","ENSG00000150540",451.3903,-1.669403,0.21009527,4.460039e-17,2.143563e-14,"HNMT","DOWN"
"397","ENSG00000150961",2159.28,-0.2499804,0.12854086,0.002308838,0.0381294,"SEC24D","DOWN"
"398","ENSG00000151012",6575.948,-0.2401087,0.10955892,0.001485423,0.0272701,"SLC7A11","DOWN"
"399","ENSG00000151062",91.63816,-0.6412337,0.46325351,0.001135202,0.02230421,"CACNA2D4","DOWN"
"400","ENSG00000151079",424.223,-0.638179,0.20823937,2.265191e-05,0.0008845572,"KCNA6","DOWN"
"401","ENSG00000151150",1076.469,-0.8468915,0.14448622,2.928223e-10,3.977291e-08,"ANK3","DOWN"
"402","ENSG00000151445",1404.656,-0.2562824,0.13227271,0.0021805,0.03633004,"VIPAS39","DOWN"
"403","ENSG00000151468",2209.718,-0.3674249,0.12940134,6.75574e-05,0.002183269,"CCDC3","DOWN"
"404","ENSG00000151612",2539.467,-0.3456693,0.13331298,0.0001691533,0.004746421,"ZNF827","DOWN"
"405","ENSG00000151790",38.14972,-2.521962,0.63810443,2.823111e-08,2.544058e-06,"TDO2","DOWN"
"406","ENSG00000151882",77.11292,-0.8291853,0.50406239,0.0004295251,0.01023001,"CCL28","DOWN"
"407","ENSG00000152208",2389.609,-0.4245498,0.12814853,9.528092e-06,0.000419236,"GRID2","DOWN"
"408","ENSG00000152763",43.45699,-2.28561,0.60423603,1.424019e-07,1.089462e-05,"DNAI4","DOWN"
"409","ENSG00000152910",125.9522,-1.532307,0.36329914,2.543255e-07,1.876802e-05,"CNTNAP4","DOWN"
"410","ENSG00000153029",270.628,-0.5340927,0.26628719,0.000415903,0.009943476,"MR1","DOWN"
"411","ENSG00000153253",175.1685,-0.8551274,0.35373162,9.52942e-05,0.002894967,"SCN3A","DOWN"
"412","ENSG00000153283",179.1355,-1.492993,0.33818681,1.19752e-07,9.352634e-06,"CD96","DOWN"
"413","ENSG00000154122",1564.23,-0.3920185,0.14060734,6.720251e-05,0.002179315,"ANKH","DOWN"
"414","ENSG00000154188",50.10748,-1.885457,0.81888941,9.19221e-06,0.0004092608,"ANGPT1","DOWN"
