"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"8039","ENSG00000143994",39.79698,0.9364639,0.43749568,0.001673159,0.0046119,"ABHD1","UP"
"8040","ENSG00000143995",388.4875,-0.2685892,0.12015054,0.02013694,0.04448109,"MEIS1","DOWN"
"8041","ENSG00000144010",2.053609,-0.3021825,0.69610476,0.09616113,0.1738671,"TRIM43B","NO"
"8042","ENSG00000144015",5.443927,0.1745736,0.49955347,0.4577641,0.5979496,"TRIM43","NO"
"8043","ENSG00000144021",5601.898,-0.5104447,0.04450962,9.031842e-31,1.479492e-29,"CIAO1","DOWN"
"8044","ENSG00000144026",1637.536,0.3399389,0.0711513,1.268268e-06,5.303077e-06,"ZNF514","UP"
"8045","ENSG00000144028",23514.02,-0.1303001,0.04357102,0.002651491,0.007068401,"SNRNP200","DOWN"
"8046","ENSG00000144029",3100.195,-0.3690031,0.04633089,1.127263e-15,9.202022e-15,"MRPS5","DOWN"
"8047","ENSG00000144031",4.685294,0.1322838,0.49964291,0.5653186,0.695304,"ANKRD53","NO"
"8048","ENSG00000144034",850.8035,-0.7416383,0.08520512,6.396049e-19,6.165523e-18,"TPRKB","DOWN"
"8049","ENSG00000144035",0.1900498,-0.02852766,0.64136154,0.7763441,NA,"NAT8","NO"
"8050","ENSG00000144036",1317.575,0.1041694,0.06735593,0.1175776,0.2055907,"EXOC6B","NO"
"8051","ENSG00000144040",550.1385,-0.4004826,0.09744158,2.452368e-05,8.90431e-05,"SFXN5","DOWN"
"8052","ENSG00000144043",3681.242,-0.4901321,0.05069938,2.080232e-22,2.391887e-21,"TEX261","DOWN"
"8053","ENSG00000144045",24.33359,0.05473087,0.33830465,0.8237956,0.8922599,"DQX1","NO"
"8054","ENSG00000144048",731.761,-0.3028786,0.0927117,0.000825549,0.002391145,"DUSP11","DOWN"
"8055","ENSG00000144057",1.736293,0.1705767,0.59838624,0.351025,0.4908343,"ST6GAL2","NO"
"8056","ENSG00000144061",443.7332,-0.07772846,0.11881906,0.4973232,0.6351838,"NPHP1","NO"
"8057","ENSG00000144063",2.489792,0.5928709,0.91980411,0.01313978,0.03044517,"MALL","UP"
"8058","ENSG00000144115",0.1605971,0.0187898,0.64031258,0.8514113,NA,"THNSL2","NO"
"8059","ENSG00000144118",1058.316,0.1477677,0.07299421,0.04007186,0.08155942,"RALB","NO"
"8060","ENSG00000144119",1.409407,0.2215472,0.64413549,0.1997838,NA,"C1QL2","NO"
"8061","ENSG00000144120",919.2292,-0.9397485,0.0777176,8.576032e-35,1.632702e-33,"TMEM177","DOWN"
"8062","ENSG00000144134",298.9262,0.1270925,0.16713773,0.4132089,0.5550528,"RABL2A","NO"
"8063","ENSG00000144136",4379.995,-0.4581121,0.04599243,1.24392e-23,1.511404e-22,"SLC20A1","DOWN"
"8064","ENSG00000144152",28.27863,1.979938,0.55472601,1.3803e-06,5.754077e-06,"FBLN7","UP"
"8065","ENSG00000144158",15.0991,-0.1599948,0.39619513,0.5275622,0.6620406,NA,"NO"
"8066","ENSG00000144161",933.6265,-0.06866739,0.09138751,0.4425396,0.5822944,"ZC3H8","NO"
"8067","ENSG00000144182",212.1479,-0.08289527,0.15249452,0.5635002,0.6938023,"LIPT1","NO"
"8068","ENSG00000144188",0.1556677,0.0187898,0.64031258,0.8514113,NA,NA,"NO"
"8069","ENSG00000144199",640.2379,0.2659217,0.09081974,0.002754459,0.007319019,"FAHD2B","UP"
"8070","ENSG00000144214",25.393,-0.07853182,0.33320191,0.7483559,0.8407145,"LYG1","NO"
"8071","ENSG00000144218",796.5528,0.2189579,0.11118619,0.04182882,0.08467458,"AFF3","NO"
