gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000115844	1054.382	-1.032609	0.07686819	1.602405e-42	4.1017479999999996e-41
ENSG00000115902	1128.252	2.032271	0.08356373	3.495564e-132	6.5364079999999995e-130
ENSG00000115946	1297.903	-1.195349	0.07436309	5.548102e-60	2.372459e-58
ENSG00000116032	16.153	1.327561	0.65900204	0.0004981392	0.001498901
ENSG00000116350	5295.806	-1.037894	0.04130364	9.91667e-141	2.166449e-138
ENSG00000116455	3412.44	-1.92225	0.0508725	0.0	0.0
ENSG00000116649	5328.823	-1.363687	0.04681994	9.969217e-189	4.4892e-186
ENSG00000116691	860.3854	-1.211064	0.09061265	1.2717819999999999e-42	3.285933e-41
ENSG00000116750	1826.506	-1.790815	0.07117008	1.391841e-141	3.1337730000000002e-139
ENSG00000116833	59.66768	1.087686	0.30416563	9.885342e-06	3.753572e-05
ENSG00000116922	1710.667	-1.052978	0.0640775	4.079475e-62	1.855951e-60
ENSG00000117016	1062.31	1.024544	0.07780585	5.880053e-41	1.414868e-39
ENSG00000117115	372.623	1.913244	0.14145638	1.9897710000000002e-43	5.2960559999999995e-42
ENSG00000117151	554.3888	1.203719	0.10967608	7.01545e-30	1.1176600000000002e-28
ENSG00000117266	244.3371	1.604059	0.17812846	1.302891e-21	1.448276e-20
ENSG00000117399	4836.871	-1.052201	0.05267131	3.244494e-90	2.829635e-88
ENSG00000117461	1644.981	-1.126337	0.08548505	2.726374e-41	6.639895e-40
ENSG00000117595	80.50248	1.264935	0.29537476	2.331171e-07	1.043353e-06
ENSG00000117877	1001.788	-1.583819	0.08048021	1.871183e-88	1.5698719999999999e-86
ENSG00000117899	2120.993	-1.156948	0.06518402	3.232519e-72	1.867161e-70
ENSG00000118507	431.8875	1.059298	0.12144107	9.369406999999999e-20	9.444310999999999e-19
ENSG00000118596	302.3673	1.056442	0.16456932	4.72013e-12	3.071356e-11
ENSG00000118898	117.3744	1.666988	0.23310138	5.614921e-15	4.4216e-14
ENSG00000118946	144.7698	-1.192653	0.20640013	1.207104e-10	7.113984e-10
ENSG00000119227	39.96554	2.128173	0.4535365	1.431125e-08	7.152386e-08
ENSG00000119514	486.0095	1.323373	0.11543368	1.503967e-32	2.6400180000000002e-31
ENSG00000119669	2177.827	-1.120318	0.06843269	7.219512000000001e-62	3.25099e-60
ENSG00000119681	333.9839	1.601487	0.13796526	2.269383e-33	4.104422e-32
ENSG00000119705	2736.715	-1.646344	0.07020687	9.464535e-124	1.491678e-121
ENSG00000119718	1503.516	-1.085546	0.06773385	2.461605e-59	1.038534e-57
ENSG00000119720	1349.423	-1.136341	0.07621406	6.00261e-52	2.1124019999999999e-50
ENSG00000119801	756.3579	1.262232	0.09452339	1.1122009999999999e-42	2.88375e-41
ENSG00000119812	2194.319	-1.121447	0.0552851	4.080469e-93	3.7514809999999997e-91
ENSG00000119938	80.29122	2.386772	0.30812199	9.405369000000001e-17	8.093973e-16
ENSG00000119943	28.52421	2.547773	0.61816006	6.630498e-08	3.128115e-07
ENSG00000120088	52.4592	3.093154	0.42229972	1.173815e-16	1.003885e-15
ENSG00000120158	476.1609	-1.065531	0.11195481	5.903953e-23	6.9887720000000005e-22
ENSG00000120278	321.4141	1.064783	0.17286823	2.388848e-11	1.475642e-10
ENSG00000120328	6.719392	1.102578	0.99893676	0.00262588	0.007010291
ENSG00000120451	1469.072	1.057364	0.07240155	9.391233999999998e-50	3.1207469999999995e-48
ENSG00000120645	8.921485	1.02053	0.80876472	0.004085308	0.01049264
ENSG00000120669	22.49529	2.245314	0.68563153	2.192996e-06	8.979117e-06
ENSG00000120694	4024.93	-1.14121	0.04911317	3.988519e-121	6.154313e-119
ENSG00000120800	2095.938	-1.49838	0.07528029	1.8958679999999998e-90	1.666627e-88
ENSG00000120907	25.03487	3.896801	0.90818087	5.11888e-09	2.656352e-08
ENSG00000120915	300.0224	2.032864	0.17113585	3.2910139999999997e-34	6.1227840000000006e-33
ENSG00000121236	593.3517	1.187744	0.10762775	3.946627e-30	6.356374e-29
ENSG00000122025	24.98782	2.13524	0.57856164	7.175468e-07	3.068347e-06
ENSG00000122367	15.10853	1.339775	0.71331833	0.0006257025	0.001852177
ENSG00000122707	219.8538	1.137014	0.17241608	9.114406e-13	6.214752e-12
ENSG00000122733	42.99202	1.408948	0.59088978	0.000161444	0.0005239392
ENSG00000122756	163.5843	1.523602	0.19733524	6.63098e-17	5.75807e-16
ENSG00000122861	72.89136	1.065816	0.28707755	6.485562e-06	2.520323e-05
ENSG00000122965	1485.594	-1.469042	0.07924932	5.253418e-79	3.512627e-77
ENSG00000122986	10.82382	-1.313569	0.80073009	0.0009847097	0.002821402
ENSG00000123096	12.60429	1.077447	0.66867679	0.002491322	0.006674481
ENSG00000123136	2830.951	-1.097326	0.05445532	7.231527e-92	6.512801999999999e-90
ENSG00000123240	1014.111	1.252374	0.08961973	2.317029e-46	6.834925e-45
ENSG00000123243	109.6575	1.504386	0.26159749	5.554918e-11	3.355304e-10
ENSG00000123338	8.957257	1.45454	0.9863806	0.0007122273	0.002087025
ENSG00000123384	1524.0	1.087565	0.09073612	1.2219600000000001e-34	2.306463e-33
ENSG00000123453	82.32389	1.59015	0.27953516	7.771813e-11	4.653597e-10
ENSG00000123570	402.5365	1.23137	0.12358313	2.6365820000000003e-25	3.473205e-24
ENSG00000123576	62.00446	1.049857	0.30810428	2.23259e-05	8.13846e-05
ENSG00000123600	831.2809	-1.02985	0.09589912	2.80854e-28	4.198539e-27
ENSG00000123609	103.4506	1.202229	0.277593	2.409996e-07	1.077758e-06
ENSG00000123689	77.31966	4.953879	0.49138826	4.4522539999999996e-26	6.0753860000000005e-25
ENSG00000124092	15.23458	1.369857	0.75070716	0.0006223319	0.001842941
ENSG00000124194	11.25786	1.207608	0.81205139	0.001700527	0.004684411
ENSG00000124212	140.8371	1.832538	0.2100969	2.867107e-20	2.963125e-19
ENSG00000124253	75.37193	1.514204	0.40525135	1.316242e-06	5.494303e-06
ENSG00000124772	17.75637	2.233534	0.81402643	9.584114e-06	3.644838e-05
ENSG00000124802	1644.657	-1.300794	0.06758065	1.15575e-84	9.011172e-83
ENSG00000124920	910.4927	1.443929	0.08939907	5.776407e-61	2.538972e-59
ENSG00000125337	27.33497	2.630678	0.58921142	1.362768e-08	6.838635e-08
ENSG00000125355	170.9576	2.476866	0.20705476	6.006638e-35	1.15049e-33
ENSG00000125454	776.8957	-1.0077	0.09030964	3.158974e-30	5.102692e-29
ENSG00000125510	122.1465	1.512825	0.23201764	4.204986e-13	2.92138e-12
ENSG00000125730	20.73442	1.242663	0.58627039	0.0005206699	0.001562435
ENSG00000125912	4139.437	-1.02109	0.04707149	1.09869e-105	1.2895e-103
ENSG00000125931	240.5179	1.753442	0.1728957	3.2874709999999995e-26	4.525143e-25
ENSG00000126091	514.02	1.263293	0.11209245	1.841877e-31	3.1000009999999998e-30
ENSG00000126457	6765.592	-1.146083	0.04155005	3.492498e-169	1.1855689999999999e-166
ENSG00000126562	137.9246	-2.015321	0.25047029	1.1973410000000001e-17	1.082316e-16
ENSG00000126733	31.91543	1.285687	0.52346894	0.0001910921	0.0006133015
ENSG00000126749	1114.061	-1.126192	0.0887571	1.5467919999999998e-38	3.409587e-37
ENSG00000126778	1294.562	-1.059885	0.07740872	3.9538969999999995e-44	1.081075e-42
ENSG00000126950	34.71872	2.399479	0.46473121	1.045372e-09	5.739518e-09
ENSG00000127241	30.65238	4.047233	0.72429152	7.179978e-12	4.609433e-11
ENSG00000127561	95.80497	1.018433	0.25931139	3.500996e-06	1.405814e-05
ENSG00000127774	1053.159	-1.049718	0.07438376	1.192748e-46	3.556483e-45
ENSG00000128165	96.02971	3.145933	0.30391799	1.30719e-28	1.985076e-27
ENSG00000128228	1129.481	-1.414743	0.07434408	5.185235e-83	3.852263e-81
ENSG00000128266	705.5167	1.137649	0.09784947	6.338325e-33	1.128774e-31
ENSG00000128626	1001.733	-1.188939	0.08995442	1.055393e-41	2.607755e-40
ENSG00000128709	400.1783	-1.419684	0.13662745	1.583311e-27	2.295384e-26
ENSG00000128710	832.0166	-1.144315	0.08560023	1.862413e-42	4.750768999999999e-41
ENSG00000128891	487.2663	-1.058095	0.15273591	1.469346e-13	1.059167e-12
ENSG00000128928	2086.031	-1.195556	0.08812086	9.070578999999999e-44	2.44076e-42
ENSG00000128965	493.9674	2.869449	0.15537059	4.652604e-79	3.1203559999999997e-77
ENSG00000129255	1027.61	-1.391909	0.07585129	1.846771e-77	1.18113e-75
