"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4667","ENSG00000198087",3205.439,-0.3533825,0.05222933,9.280903e-12,5.910047e-11,"CD2AP","DOWN"
"4668","ENSG00000198113",91.04894,-0.5767808,0.23081094,0.004006481,0.01031777,"TOR4A","DOWN"
"4669","ENSG00000198146",2995.265,-0.7567183,0.05392292,1.859617e-45,5.315085e-44,"ZNF770","DOWN"
"4670","ENSG00000198157",2084.629,-0.433066,0.06437007,1.002316e-11,6.364348e-11,"HMGN5","DOWN"
"4671","ENSG00000198160",1846.377,-0.1950431,0.06997136,0.004742166,0.01202159,"MIER1","DOWN"
"4672","ENSG00000198171",1789.762,-0.7321072,0.06499754,4.19118e-30,6.740407e-29,"DDRGK1","DOWN"
"4673","ENSG00000198176",6059.895,-0.205454,0.04003183,2.545533e-07,1.136757e-06,"TFDP1","DOWN"
"4674","ENSG00000198208",617.3305,-1.157562,0.1139223,5.492506e-26,7.448811e-25,"RPS6KL1","DOWN"
"4675","ENSG00000198218",3057.924,-0.4278883,0.05191661,1.003991e-16,8.619871e-16,"QRICH1","DOWN"
"4676","ENSG00000198242",35219.92,-0.3518689,0.04133087,1.190511e-17,1.076583e-16,"RPL23A","DOWN"
"4677","ENSG00000198252",1069.39,-0.2504994,0.07401146,0.0005926794,0.001763175,"STYX","DOWN"
"4678","ENSG00000198258",3099.223,-0.4172237,0.0551386,2.322009e-14,1.766729e-13,"UBL5","DOWN"
"4679","ENSG00000198276",689.2037,-0.3825643,0.10068519,9.342424e-05,0.0003132682,"UCKL1","DOWN"
"4680","ENSG00000198324",372.1779,-0.4506759,0.1199138,9.213473e-05,0.0003094297,"PHETA1","DOWN"
"4681","ENSG00000198355",1693.77,-0.4066175,0.06040596,1.044332e-11,6.621607e-11,"PIM3","DOWN"
"4682","ENSG00000198356",1232.865,-0.8589041,0.08345864,8.809926e-26,1.183867e-24,"GET3","DOWN"
"4683","ENSG00000198369",569.001,-0.7862571,0.11007736,1.462119e-13,1.054302e-12,"SPRED2","DOWN"
"4684","ENSG00000198373",818.0672,-0.2735265,0.08583946,0.001151559,0.003263439,"WWP2","DOWN"
"4685","ENSG00000198393",320.9473,-0.5671668,0.14493254,3.376708e-05,0.0001202697,"ZNF26","DOWN"
"4686","ENSG00000198399",1135.948,-0.399197,0.10060258,4.496273e-05,0.0001574766,"ITSN2","DOWN"
